"pid","label","object_type","genre","worktags","iconclass_code","height_cm","width_cm","diameter_cm","location_country","location_city","location_collection","location_or_most_recent_sale_notes","collection_type","realdate","medium","medium_notes","support","support_notes","signature","signature_location","support_marks","further_inscription","print_notes","print_type","plate_dimensions","states","printmaker","publisher","series","collaborators","collaborator_notes","collectors_patrons","our_attribution","other_attribution_authorities","bibliography","biblio_reference","exhibition_history","ertz_1979","ertz_2008","bailey_walker","hollstein_no","provenance","provenance_text","related_works","related_works_notes","copies_and_variants","curatorial_files","general_notes","external_resources_title","external_resources_url","thumbnail","fullwidth","collection","layout","order","original_image_file","image_source_title","image_source_url"
18558,"A Bridal Procession (Antwerp)","Painting","Urban, Common and Peasant Life","Wedding|Dog|Church|Village|Burghers|Children|Peasants|Musical instruments",,69.5,115.8,,"Belgium","Antwerp","Koninklijk Museum voor Schone Kunsten","cat. 1920, no. 807","Public",,"Oil",,"Panel",,,,,,,,,,,,"Wedding Processions Series",,,,,"Pieter Brueghel II",,,,,,,,,"F, Bruchman Sociey, A.-G. Munich; The Medici Society Ltd., London.  Antwerp Museum, cat. 1920, no. 807.",,,,,,,,"img/derivatives/simple/18558/thumbnail.jpg","img/derivatives/simple/18558/fullwidth.jpg","janbrueghel","brueghel_item",,"A_Bridal_Procession_Antwerp.jpg",,
18559,"A Bridal Procession (Paris)","Painting","Urban, Common and Peasant Life","Wedding|Dog|Church|Village|Burghers|Children|Peasants|Musical instruments",,67,121,,"Unavailable","Private Collection/Art Market",,"Paris, Bacri Collection","Private","ca. 1623","Oil",,"Panel",,,,,,,,,,,,"Wedding Processions Series",,,,,,,,,,,,,,"Sale, Mnszech, 9-4-1902, n. 97.  Collection, Bacri, Paris.  Exhibition, Paris 1935, no. 19.  Exhibition, The Collector's Cabinet, Worcester Art Museum, 1983/84.",,,,,,,,"img/derivatives/simple/18559/thumbnail.jpg","img/derivatives/simple/18559/fullwidth.jpg","janbrueghel","brueghel_item",,"A_Bridal_Procession_Paris.jpg",,
18345,"Adam and Eve in Paradise (Sotheby's, London)","Painting","Religious","Birds|Deer|Lion|Parrot|Old Testament|Paradise",,59,43,,"Unavailable","Private Collection/Art Market",,"Private Collection","Private",,"Oil",,,,,,,,,,,,,,"Paradise Series",,,,,,,,,,,,,,"Sale, Amsterdam (Mensing), 1941. Sale, London Sotheby's, 6-7-1983, no.116 with illustration",,,,,,,,"img/derivatives/simple/18345/thumbnail.jpg","img/derivatives/simple/18345/fullwidth.jpg","janbrueghel","brueghel_item",,"Adam_and_Eve_in_Paradise_Sothebys_London0AAdam_and_Eve_in_Paradise_Sothebys_London0AAdam_and_Eve_in_Paradise_Sothebys_London0APar_Adam_and_Eve_in_Paradise_Sothebys_London.png",,
18175,"The Adoration of the Magi (Amsterdam, Sotheby's)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,116,159.5,,,,,,"Unknown/Not Applicable",,"Oil",,"Canvas",,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Vlg. (Sotheby) Amsterdam - 3 Mei 1999.",,,,,,,,"img/derivatives/simple/18175/thumbnail.jpg","img/derivatives/simple/18175/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Amsterdam_Sothebys.jpg",,
18161,"Adoration of the Magi (Antwerp, Koninklijk)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,143,172,,"Belgium","Antwerp","Koninklijk Museum voor Schone Kunsten","cat. 1948, no. 847","Public",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18161/thumbnail.jpg","img/derivatives/simple/18161/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Antwerp.jpg",,
18591,"Adoration of the Magi (Braunschweig, Herzog Anton Ulrich-Museum)","Painting",,,,27,36,,"Germany","Braunschweig","Herzog Anton Ulrich Museum",,"Public",,,,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18591/thumbnail.jpg","img/derivatives/simple/18591/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Braunschweig.jpg",,
18170,"Adoration of the Magi (Brussel, Koninklijk Mus.)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,127,166,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Vlg. M. von Nemes, Munchen 2-11-1933|Verz. Dr. Ludwig Osther, Neurenberg, 1951 |Verz. Vittorio Duca, Milan, 1962",,,,,,,,"img/derivatives/simple/18170/thumbnail.jpg","img/derivatives/simple/18170/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Brussels_Koninklijk.jpg",,
18164,"Adoration of the Magi (Brussels, Sale)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,118,174,,,,,,"Unknown/Not Applicable",,"Oil",,,,,"lower left",,,,,,,,,"Adoration Series",,,,,"Pieter Brueghel II, naar Pieter Bruegel I.",,,,,,,,,"Vlg. Brussel (P.B.A.), 17-11-1954, nr. 284.  Vlg. Brussel (P..B. A.) 16-6-1959, nr. 423.",,,,,,,,"img/derivatives/simple/18164/thumbnail.jpg","img/derivatives/simple/18164/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Brussels_Sale.jpg",,
18592,"Adoration of the Magi (Brussels)","Painting",,,,124.5,168,,,,,,,,,,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18592/thumbnail.jpg","img/derivatives/simple/18592/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Brussels.jpg",,
18157,"Adoration of the Magi (Dresden)","Painting","Religious","Resting|House|Pieter Bruegel|River|Burghers|Children|Soldiers|Christ|New Testament|Virgin Mary",,45,64.5,,"Germany","Dresden","Staatliche Kunstsammlungen Dresden, Gemäldegalerie Alte Meister","cat. 1930, nr. 900","Public",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18157/thumbnail.jpg","img/derivatives/simple/18157/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Dresden.jpg",,
