"pid","label","first_name","last_name","birth_death","bio_text","bio_author","role","status_profession","order","layout","collection","thumbnail","full"
"bio1","Lucas van Uden","Lucas","Van Uden","1595–1672","<p>The son of the town painter, Artus van Uden, Lucas joined Antwerp’s Guild of St. Luke as a “master’s son” in 1626-27. His grandfather was Pieter van Uden, the founder of a well-known tapestry workshop in Antwerp. Lucas was likely trained by his father and was heavily influenced throughout his career by recent developments in Flemish landscape painting. He spent most of his career in Antwerp where he lived with his wife Anna van Woelput, whom he married in 1627. </p><p>Lucas van Uden is best-known for his etchings and watercolors, which demonstrate his great talent for observing nature. His biographer wrote that he often took walks into the countryside early in the morning to make landscape sketches, though this might not be the truth, as most of his paintings follow a specific formula. Van Uden’s careful attention to detail in his smaller paintings and his use of decorative elements in his larger paintings place him in the same tradition as Jan Breughel. He was heavily influenced by Rubens as well, and made copies of many of his works. Lucas used many of Ruben’s favorite figures in his own compositions, like cows at a watering hole or a woman carrying a round jug on her head, and adapted stylistic choices like lighting and color from Rubens as well. Because he borrowed so many motifs from Rubens, many believed for a while that Lucas van Uden had been his assistant. However, this was not the case. </p>","Rigby Philips",,"painter",48,"biography_item","biographies","/img/derivatives/simple/bio1/thumbnail.jpg","/img/derivatives/simple/bio1/fullwidth.jpg"
"bio10","Nicolaas Cornelis Cheeus","Nicolaas Cornelis","Cheeus",,,,,,13,"biography_item","biographies","/img/derivatives/simple/bio10/thumbnail.jpg","/img/derivatives/simple/bio10/fullwidth.jpg"
"bio11","Mayken Verhulst Bessemers","Mayken","Verhulst Bessemers","1518–1596/9",,,,,51,"biography_item","biographies","/img/derivatives/simple/bio11/thumbnail.jpg","/img/derivatives/simple/bio11/fullwidth.jpg"
"bio12","Philips Galle","Philips","Galle","1537–1612",,,,,23,"biography_item","biographies","/img/derivatives/simple/bio12/thumbnail.jpg","/img/derivatives/simple/bio12/fullwidth.jpg"
"bio13","Gerard De Jode","Gerard de","De Jode","1511-1591","<p>Cartographer and engraver Gerard De Jode was born 1509 in Nijmegen in the province of Gelderland. Though not much is known about his early life, by 1547 he had relocated to Antwerp. Once there, he was admitted as a master into the Guild of St. Luke, and he became a citizen of the city in 1549. Two years later, in 1551, he received an official license to print and publish his works. Among these were a number of map books, some illustrated by De Jode himself and others done in collaboration with fellow artists. His most famous work is Speculum orbis terrarum (1578), a comprehensive reissue of his previous maps. The book was continuously updated after De Jode’s death in 1591 by his eldest son, Cornelis De Jode. Though it was not commercially successful during De Jode’s lifetime, the book has grown to be his m0st enduring work.</p><p>As one of northern Europe’s most successful publishers, De Jode often came in contact with the Netherlandish art world. He often published prints after designs byMarten de Vos, Crispin van den Broeck, Hendrick Goltzius, and other leading artists. De Jode also had a close connection with the Brueghel family of artists that extended beyond the professional. His son, Pieter De Jode, frequently made prints after designs by Jan Brueghel the Elder. And De Jode’s daughter, Isabella De Jode, married Jan in 1599. Though this was nearly a decade after De Jode’s death, the marriage and the couple’s two children united both families for generations.</p>","Ximena Valdarrago","publisher","publisher",16,"biography_item","biographies","/img/derivatives/simple/bio13/thumbnail.jpg","/img/derivatives/simple/bio13/fullwidth.jpg"
"bio14","Pieter Brueghel the Younger","Pieter","Brueghel the Younger","1564–1638","<p>Pieter Brueghel the Younger was born in Brussels in 1564, the eldest son of Pieter Bruegel the Elder and Mayken Coecke van Aelst. Although his father died in 1569, the younger Pieter’s career would be deeply impacted by his famous father.</p><p>Brueghel’s mother died when he was a young teenager, and he and his siblings were raised by her sisters. He moved to Antwerp in 1583, where he became an apprentice to Gillis van Coninxloo. Two years later, at the age of 21, he registered as a master and an independent artist with the Guild of St. Luke. He married Elisabeth Godelet on November 5, 1588. The couple had seven children, and at least one of their sons, Pieter III, would go on to become an artist. Brueghel took his son on as an apprentice, as well as seven other students between 1588 and 1626. His artistic career was often dictated by the legacy of his famous father and the influence of his more innovative younger brother, Jan Brueghel the Elder. Pieter was never very financially successful, despite a prolific output. Nevertheless, he managed to have a significant impact on the Flemish art market with his replicas of his father’s works and personal compositions inspired by the traditional Brueghel style. He died on October 10, 1636 at 73, having cemented alongside his brother the Brueghel legacy his father left behind.</p><p>Brueghel’s artistic output drew heavily from common Brueghel motifs, both in the form of direct replications of his father’s compositions and also his own original and successful works. These are primarily genre and landscape scenes that highlight his accomplishments as a nature and background painter. Brueghel also collaborated with other painters. Due to his family’s significance in the Flemish art world, he had many connections and access to the other preeminent artists of his day. Among his collaborators are Gillis Mostaert, Franchois de Grooten, and Frans Snyders, who was one of his students.</p><p>Brueghel is most famous for his replicas and reworkings of his father’s paintings. At the time of his death, Pieter the Elder had revolutionized the Flemish art world. Though his father died when he was only a young child, Pieter would have likely been exposed to his works and methods through past students and patrons. The younger Brueghel also worked in a much different economic context than his father, one in which Flemish art dealers prioritized familiar and previously successful styles. As he matured in this environment, Brueghel adopted his father’s technique as his own, and many of the works he produced were direct copies of his father’s most famous paintings. Among these are Winter Landscape with Skaters and a Bird-trap, St John the Baptist Preaching, and Netherlandish Proverbs. Brueghel and his studio made dozens of these works in the highly sought-after Brueghel style and sold them through dealers. Often, Brueghel tweaked his father’s compositions so that they better fit certain art markets. This practice ranged from omitting weather patterns to completely rearranging the composition of figures. His replicas were highly diverse in their subject matter, ranging between religious, secular, and moralizing themes. Though Brueghel never distinguished himself as an individual artist, his enterprise allowed him to capitalize on his family’s legacy and to magnify the renown of the Brueghel name.</p>","Ximena Valdarrago","relative","painter",5,"biography_item","biographies","/img/derivatives/simple/bio14/thumbnail.jpg","/img/derivatives/simple/bio14/fullwidth.jpg"
"bio15","Hendrick van Balen","Hendrick","Van Balen","1575–1632","<p>Hendrick van Balen was born in 1575 to the merchant Willem van Balen and Mechtelt van Aelten. A resident of Antwerp for most of his life, he became a master (Freimeister) in the city’s Guild of St. Luke (1592/3) before embarking on a trip to Italy. During his time there, he either met or studied the works of Hans Rottenhammer, and he was also heavily influenced by the work of Tintoretto. In 1609, back in Antwerp, he was named deacon of the painters’ guild. He was also constantly praised as liefhebber, a term describing a painter or lay patron who demonstrated acute and learned appreciation of contemporary art. For example, Van Balen received this accolade together with Peter Paul Rubens and Jan Brueghel the Elder for procuring a work painted by Caravaggio. Van Balen was intimately connected to Rubens and Brueghel in both professional and social capacities: they collaborated on paintings and shared drawings, and public records attest to their mutual appointments as godparents as well as intermarriage in the next generation. Van Balen regularly worked alongside contemporaries outside of this trio, including Anthony van Dyck, one of his many pupils. He married the middle-class Margareta Briers (1604) and fathered eleven children, three of whom—Jaspar, Hendrick the Younger, and Jan, the most successful—became painters. He died on July 17, 1632.</p><p>Of a total 219 works attributed to Van Balen by Bettina Werche, 76 are either confidently or tentatively identified as collaborations with Jan Brueghel the Elder. Their earliest work together—“The Judgment of Paris” (Berlin) —was painted in 1600. Van Balen’s oeuvre, as described by Werche, spans three periods and several genres. The first period starts with his ascension as Freimeister and covers his early works through 1608. Van Balen absorbed the late Mannerist tendencies of Italian art in the 1590s, yet the works produced after his return to Antwerp demonstrate a reinvigorated Flemish influence on his figuration. The second period of 1609–25 involves the radical adoption of Rubens’ style as well as its subversion, particularly through his characteristically small format. Finally, the third period of 1625–32 is bounded by the deaths of Brueghel and Van Balen. At this time Van Balen concentrated more on central, plot-driven scenes by painting fewer and larger figures. The productive cooperation between the Brueghel and Van Balen families continued in this period with Jan Breughel the Younger’s contributions to about 50 works, although Hendrick’s son Jan van Balen would sever the connection upon his father’s death.</p><p>Van Balen painted altars, designed stained glass windows, and engaged with the copper plate as a medium, but he is best known for his myriad cabinet paintings (Kabinettbilder). Through most of his career, he painted heavily populated scenes related to mythology, allegory, and biblical history with a preference for nude female mythical figures and personifications. In the realm of religious iconography, Van Balen contributed to the development of the floral wreath (Blumenkränzen) type of Madonna and Child depiction.</p>","Ashley Gonik","collaborator","painter",42,"biography_item","biographies","/img/derivatives/simple/bio15/thumbnail.jpg","/img/derivatives/simple/bio15/fullwidth.jpg"
"bio16","Abraham Ortelius","Abraham","Ortelius","1527–1598","<p>Abraham Ortelius, sixteenth century cartographer and geographer, was orphaned at the age of twelve and was raised by his uncle, Jacob van Meteren, in Antwerp. While later in life his craft drew him to various important European cities, it was during Ortelius’ time in Antwerp as an apprentice to a map engraver that he established relationships with the artists he later patronized. In 1547 he joined the artists’ Guild of St. Luke, through which he connected with Marten de Vos, Joris Hoefnagel, Lucas d’Heere, Frans Hogenberg, Philips Galle, and Pieter Bruegel.</p><p>Ortelius’ close friendship with Bruegel is attested perhaps most clearly by two artifacts created after the artist’s death in 1569: an epitaph, and an engraving. The former, written around 1573 in Ortelius’ Album Amicorum, conveys both his personal relationship with Bruegel, and his opinion of Bruegel as “the most perfect painter of the century.” Ortelius furthered the secondary purpose of the epitaph—to commemorate Bruegel’s artistic brilliance—by commissioning an engraving from Philips Galle of a grisaille Bruegel had painted for Ortelius in 1564. He sent copies of this engraving to Dirck Volckertsz Coornhert and Benedictus Arias Montanus, the latter of whom quickly recognized the print as a version of the very grisaille--Bruegel’s The Death of the Virgin. Though little is known about the circumstances in which Bruegel painted this grisaille for Ortelius, their close friendship seems a likely explanation. The year after Bruegel’s death, 1570, Ortelius published what became his best-known work Theatrum Orbis Terrarum: a compendium of maps from various sources created with the purpose of expanding the human understanding of world geography. Ortelius died in 1598 in Antwerp.</p>","Cecily Manson","patron","scholar",32,"biography_item","biographies","/img/derivatives/simple/bio16/thumbnail.jpg","/img/derivatives/simple/bio16/fullwidth.jpg"
"bio17","Jan Noirot","Jan","Noirot",,"<p>Jan Noirot, at one time the Master of the Antwerp Mint, declared bankruptcy and abandoned his wife and nine children in 1572. A forced auction was held on September 15th of that year to pay off his debt. The record of this auction reveals that Noirot owned around fifty paintings, five of which were painted by Pieter Bruegel. His art collection displays his interest in peasant revels, particularly clear in his selection of Bruegel works: one winter landscape, two peasant weddings, and two peasant kermis scenes. In his home, which itself was owned by the Antwerp Mint, the Bruegel paintings were divided among two rooms. Two peasant weddings, a peasant kermis, and the winter landscape were hung alongside family portraits and a painting of the Virgin Mary in a small back chamber adjoining the main dining room. The second peasant kermis was displayed next to a peasant wedding attributed to Hieronymous Bosch in an upper chamber of his home. A peasant wedding and peasant kermis, both recorded as painted in oils, are two of Noirot’s most expensive possessions; they cost 80 and 42 guilders respectively. Their price reflects the opulence of the oil medium. The other three paintings cost between 27-28 guilders presumably because they were painted in water-based tempera. Four of the paintings were painted on cloth (op doeck), while the fifth and most costly was painted on an undesignated support. As these paintings were auctioned only three years after Bruegel’s death in 1569, there is little dispute that they are Bruegel’s own.</p>","Cecily Manson",,"merchant/professional",31,"biography_item","biographies","/img/derivatives/simple/bio17/thumbnail.jpg","/img/derivatives/simple/bio17/fullwidth.jpg"
"bio18","Nicolaes Jongelinck","Nicolaes","Jongelinck","1517-1570","<p>Nicolaes Jongelinck was a prominent Antwerp merchant and patron of both Pieter Bruegel and Frans Floris. A member of an affluent Antwerp family with many ties to the Mint, it is possible that Jongelinck could have known another Bruegel patron and officed Mint member, Jan Noirot. Like many wealthy figures of the early modern period, Jongelinck owned both a metropolitan home, De Sphera Mundi in the Kidorpstraat, and a leisure home just outside the city gates. For his suburban villa, Ter Beke, Jongelinck commissioned works from Floris and Bruegel. As Ter Beke was destroyed in Alessandro Farnese’s siege of Antwerp in 1584, the placement of the paintings within the villa is not known. Floris’s Hercules and Liberal Arts may have had their own viewing chambers within the home, and Bruegel’s Twelve Months were likely the dining room décor. In 1565, Jongelinck pledged his Bruegel collection (or a portion of it) as security for Daniel de Bruyne, who owed 16,000 guilders to the city of Antwerp. The record of this pledge confirms Jongelinck’s ownership of at least sixteen Bruegel pieces at this time, including the recently completed Twelve Months series, a Tower of Babel and Christ Carrying the Cross. After his death in 1570, Jongelinck’s Bruegel collection was sold, resurfacing in 1593 in the hands of Archduke Ernst, then governor of Netherlands. An inventory of the Archduke’s paintings indicates that at this juncture there were six paintings in the Twelve Month series, of which only five are known to remain.</p>","Cecily Manson","patron","merchant/professional",28,"biography_item","biographies","/img/derivatives/simple/bio18/thumbnail.jpg","/img/derivatives/simple/bio18/fullwidth.jpg"
