"pid","object_id","copy_variant_description","order","fullwidth","thumbnail","collection"
703,2968,"Copy after original design by Jan Brueghel the Elder, Oil on panel, 52 x 65 cm, 17th c.",0,"img/derivatives/simple/703/fullwidth.jpg","img/derivatives/simple/703/thumbnail.jpg","copies_and_variants"
704,2968,"Copy after original design by Jan Brueghel the Elder, Oil on panel, 48.4 x 64 cm",1,"img/derivatives/simple/704/fullwidth.jpg","img/derivatives/simple/704/thumbnail.jpg","copies_and_variants"
705,2968,"Copy after original design by Jan Brueghel the Elder, Oil on panel, 48.5 x 64.5 cm, signed and dated 1615",2,"img/derivatives/simple/705/fullwidth.jpg","img/derivatives/simple/705/thumbnail.jpg","copies_and_variants"
706,2968,"Copy after original design by Jan Brueghel the Elder, 46.4 x 61.6 cm",3,"img/derivatives/simple/706/fullwidth.jpg","img/derivatives/simple/706/thumbnail.jpg","copies_and_variants"
737,3169,"A variation by Jan Brueghel the Younger in the Norton Simon Museum",4,"img/derivatives/simple/737/fullwidth.jpg","img/derivatives/simple/737/thumbnail.jpg","copies_and_variants"
738,3347," Related collaboration between Brueghel and Rottenhammer. Sold, Cologne, Lempertz, 24 Nov 1971 ",5,"img/derivatives/simple/738/fullwidth.jpg","img/derivatives/simple/738/thumbnail.jpg","copies_and_variants"
6529,9566,"Copy in the British Museum",6,"img/derivatives/simple/6529/fullwidth.jpg","img/derivatives/simple/6529/thumbnail.jpg","copies_and_variants"
6528,9571,,7,"img/derivatives/simple/6528/fullwidth.jpg","img/derivatives/simple/6528/thumbnail.jpg","copies_and_variants"
6526,9572,,8,"img/derivatives/simple/6526/fullwidth.jpg","img/derivatives/simple/6526/thumbnail.jpg","copies_and_variants"
6527,9578,,9,"img/derivatives/simple/6527/fullwidth.jpg","img/derivatives/simple/6527/thumbnail.jpg","copies_and_variants"
