"pid","object_id","file_type_category","file_type","file_notes","file_description","original_format","research_date","researchers","equipment_used","file_location","fullwidth","thumbnail","order","collection"
415,"3038","Written Documents","Catalog Card","Catalog Card from Museum Plantin-Moretus","A Coach on a Country Road - Catalog Card from Museum Plantin-Moretus",,,,,,"img/derivatives/simple/415/fullwidth.jpg","img/derivatives/simple/415/thumbnail.jpg",,"curatorial_files"
418,"2879","Normal Light Images","Detail",,"Adoration of the Magi (England) - Detail 1",,,,,,"img/derivatives/simple/418/fullwidth.jpg","img/derivatives/simple/418/thumbnail.jpg",,"curatorial_files"
419,"2879","Normal Light Images","Detail",,"Adoration of the Magi (England) - Detail 2",,,,,,"img/derivatives/simple/419/fullwidth.jpg","img/derivatives/simple/419/thumbnail.jpg",,"curatorial_files"
420,"2879","Normal Light Images","Detail",,"Adoration of the Magi (England) - Detail 3",,,,,,"img/derivatives/simple/420/fullwidth.jpg","img/derivatives/simple/420/thumbnail.jpg",,"curatorial_files"
421,"2879","Normal Light Images","Detail",,"Adoration of the Magi (England) - Detail 4",,,,,,"img/derivatives/simple/421/fullwidth.jpg","img/derivatives/simple/421/thumbnail.jpg",,"curatorial_files"
422,"2879","Normal Light Images","Detail",,"Adoration of the Magi (England) - Detail 5",,,,,,"img/derivatives/simple/422/fullwidth.jpg","img/derivatives/simple/422/thumbnail.jpg",,"curatorial_files"
423,"2879","Normal Light Images","Detail",,"Adoration of the Magi (England) - Detail 6",,,,,,"img/derivatives/simple/423/fullwidth.jpg","img/derivatives/simple/423/thumbnail.jpg",,"curatorial_files"
424,"2884","Normal Light Images","Detail",,"Aeneas Carrying Anchises from the Burning Troy (Amsterdam) - Detail 1",,,,,,"img/derivatives/simple/424/fullwidth.jpg","img/derivatives/simple/424/thumbnail.jpg",,"curatorial_files"
425,"2884","Normal Light Images","Detail",,"Aeneas Carrying Anchises from the Burning Troy (Amsterdam) - Detail 2",,,,,,"img/derivatives/simple/425/fullwidth.jpg","img/derivatives/simple/425/thumbnail.jpg",,"curatorial_files"
426,"2884","Normal Light Images","Detail",,"Aeneas Carrying Anchises from the Burning Troy (Amsterdam) - Detail 3",,,,,,"img/derivatives/simple/426/fullwidth.jpg","img/derivatives/simple/426/thumbnail.jpg",,"curatorial_files"
