"pid","object_pid","author","comment","post_date"
1,2874,"Emily Domanico","<p>Attributed to entourage of Lucas van Uden by Sabine van Sprang in 2003</p>","February 1, 2016"
2,2876,"E.A. Honig","<p>This work is very closely related to version in the Colonna collection. Possibly a contemporary autograph copy that Jan took back to Antwerp and formed the basis of further variants executed there; or could this be the one listed in Giustiniani inventory in 1601? I also find it very possible that all the Magi paintings were executed in Antwerp, where the theme is local and the visual materials to hand, and then sent to patrons in Rome (as he was doing for Borromeo). But if any versions were executed in Rome they are this and the Colonna painting.</p>","June 4, 2012"
3,2877,"E.A. Honig","<p>Horse at left seems to repeat that in Titian's Adoration of the Magi in the Ambrosiana. It is possible that Jan Brueghel could have seen this painting during his trip to Italy.</p>","June 11, 2012"
4,2878,"Christine Quach","<p>Copy sold Sotheby's London November 25, 1970 #21. Awful copy sold Brussels, Nackers, October 13 1965 (copper, 48 x 35). (PDT)</p><p>Copy sold Christie's London July 28, 1950 (gouache, 24 x 31 cm). Bought by Leger.</p>","June 4, 2012"
5,2878,"E.A. Honig","<p>Although Ertz puts this work after the version in the Koninklijk Museum, Antwerp (Ertz 1979 #63), it seems to me that it relates more to the earlier versions of the subject and could predate that work.</p>","June 4, 2012"
6,2879,"E.A. Honig","<p>A close variant of Vienna and London paintings which is now accepted by Ertz but it's just not consistent. Some of the figures are really good (the crowd is lively and interesting) and others are awful--like, actually the 3 kings are all terrible, as if the artist just wasn't interested.  A good example of a studio piece: executed alongside or shortly after autograph ones, possibly with some intervention of the artist  but not a fully autograph, first-rate piece. Also it's not a direct copy--the space where the crowd gathers on the left is not so good (they are too isocephalic) and the middle- and background don't repeat any other version exactly. You have a sense that there were drawings around that were mixed and matched.</p>","April 5, 2014"
7,2880,"E.A. Honig","<p>Copy by a follower in Dresden, Gemaldegalerie (panel, 45 x 64.5).  Copy art market, Vienna (Hassfurthen 1993) canvas, 76.5 x 110. </p><p>Martin 1970: composition was inspired in a general way by Pieter the Elder's Adoration of the Kings in Brussels. The cottage, figures at the door, and king kneeling before Christ derive somehow from Bosch's Prado Adoration of the Kings. The poses of the Moorish king, St. Joseph, the man whispering to him, and the soldier in the center are copied from Pieter's London painting of the Adoration of the Kings. The shepherd leaning on a stick by hound in right foreground comes from drawing by Pieter the Elder in Dresden.</p>","June 7, 2012"
8,2881,"E.A. Honig","<p>This painting is nearly identical to the Adoration in the Mayer-van den Bergh, inv. #497 (Ertz 231/Honig 00019). If the dating of this piece is correct and it was completed in 1594 in Rome, it is therefore likely that he painted both at the same time and took the Mayer-van den Bergh version back to Antwerp to form the basis for the multiple other variants of the Adoration. Ertz implies that there is a date on the Colonna painting but I have examined it and see none.</p>","June 13, 2012"
9,2882,"E.A. Honig","<p>Later copy in Coppee collection, Brussels. Copy Braunschweig, Herzog Anton-Ulrich Museum, #104 (copper, 27 x 36)</p>","June 27, 2015"
10,2883,"E.A. Honig","<p>The general disposition of the composition has been linked to the Brussels watercolor Adoration of the Magi sometimes attributed to Pieter the Elder. However, I do not find this connection particularly close. Not a single direct citation can be found between that painting and Jan’s versions of the subject, in marked distinction to the way he handles the revision of other major compositions by his father.</p>","January 23, 2015"
11,2883,"E.A. Honig","<p>Copy formerly Dresden, Gemaldegalerie, 1930 cat. #900 (panel, 45 x 64.5). Copy formerly art market, Vienna (Hassfurther (?) 1993), canvas, 76 x 110.</p>","July 31, 2012"
12,2883,"E.A. Honig","<p>Sources for this composition and its figures include Bosch's Prado Ephphany Altarpiece, Pieter Bruegel the Elder's London and Brussels Adorations, and a drawing by Pieter now in Dresden.</p>","June 8, 2012"
13,2884,"E.A. Honig","<p>This seems to be the prime version of a composition of which there are several further copies, eg the painting sold Christies London July 7 2004, and the version in Munich (ertz 1979 #26). It is also possible that the Munich version is the prime one. All are on copper plates of roughly the same size but only this one is signed and dated. It was sold as having a pendant of Aeneas and Sibyl in the Underworld, a work that seems to be later and of slightly less good quality. Perhaps they were put together later as being thematically connected.</p><p>Many actual sites from Rome can be identified in ""Troy"" here.  Although I have not seen this picture, I suggest that its date might actually read 1595 because the drawing on which it is based is very clearly dated 1594. That drawing is View of the Bridge and Castel Sant' Angelo (pen and brown ink, 179 x 269); Darmstadt, Hessisches Landesmuseum, inv. #AE 397. On this drawing see Winner 1975, 93-94.</p>","September 20, 2012"
