pid,exclude,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
18157,Adoration of the Magi (Dresden),,,Adoration of the Magi (Dresden),Painting,Religious,Resting House Pieter_Bruegel River Burghers Children Soldiers Christ New_Testament Virgin_Mary,,45,64.5,,,,,,,,,,,,,,,,,,,,,,,Public,Germany,Dresden,"Staatliche Kunstsammlungen Dresden, Gemäldegalerie Alte Meister","cat. 1930, nr. 900",,,,,,,,,1206,brueghel_item,brueghel,img/derivatives/simple/18157/thumbnail.jpg,img/derivatives/simple/18157/full.jpg
18158,"Adoration of the Magi (London, Christie's, 1950)",,,"Adoration of the Magi (London, Christie&apos;s, 1950)",Painting,Religious,Resting House River Burghers Children Soldiers Christ New_Testament Virgin_Mary,,24,30.4,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1207,brueghel_item,brueghel,img/derivatives/simple/18158/thumbnail.jpg,img/derivatives/simple/18158/full.jpg
18159,Adoration of the Magi (Prague),,,Adoration of the Magi (Prague),Painting,Religious,Resting Cattle Dog Donkey Horse Children Christ New_Testament Virgin_Mary,,33.5,51,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"cat. 1905, no. 27",,,,,,,,,1208,brueghel_item,brueghel,img/derivatives/simple/18159/thumbnail.jpg,img/derivatives/simple/18159/full.jpg
18160,Adoration of the Magi (Munich),,,Adoration of the Magi (Munich),Painting,Religious,Resting Cattle Dog Donkey Horse Children Christ New_Testament Virgin_Mary,,33.5,51,,,Copper,,I.I. BREV. IN. F.,,,,,,,,,,,,,,,,,,Public,Germany,Munich,Bayerische Staatsgemäldesammlungen,inv. nr. 2001,,,,,,,,,1209,brueghel_item,brueghel,img/derivatives/simple/18160/thumbnail.jpg,img/derivatives/simple/18160/full.jpg
18161,"Adoration of the Magi (Antwerp, Koninklijk)",,,"Adoration of the Magi (Antwerp, Koninklijk)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,143,172,,,,,,,,,,,,,,,,,,,,,,,Public,Belgium,Antwerp,Koninklijk Museum voor Schone Kunsten,"cat. 1948, no. 847",,,,,,,,,1210,brueghel_item,brueghel,img/derivatives/simple/18161/thumbnail.jpg,img/derivatives/simple/18161/full.jpg
18162,Adoration of the Magi (Stausburg),,,Adoration of the Magi (Stausburg),Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,135,185,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1211,brueghel_item,brueghel,img/derivatives/simple/18162/thumbnail.jpg,img/derivatives/simple/18162/full.jpg
18163,"Adoration of the Magi (Madrid, Convento de las Descalzas Reales)",,,"Adoration of the Magi (Madrid, Convento de las Descalzas Reales)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,,,,,,,,,,,,,,,,,,,,Pieter Brueghel II (Ertz),,,,,Public,Spain,Madrid,Convento de las Descalzas Reales,,,,,,,,,,1212,brueghel_item,brueghel,img/derivatives/simple/18163/thumbnail.jpg,img/derivatives/simple/18163/full.jpg
18164,"Adoration of the Magi (Brussels, Sale)",,,"Adoration of the Magi (Brussels, Sale)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,118,174,,,,,,lower left,,,,,,,,,,,,"Pieter Brueghel II, naar Pieter Bruegel I.",,,,,Unknown/Not Applicable,,,,,,,,,,,,,1213,brueghel_item,brueghel,img/derivatives/simple/18164/thumbnail.jpg,img/derivatives/simple/18164/full.jpg
18165,Adoration of the Magi (Lokeren),,,Adoration of the Magi (Lokeren),Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,135,169,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1214,brueghel_item,brueghel,img/derivatives/simple/18165/thumbnail.jpg,img/derivatives/simple/18165/full.jpg
18166,"Adoration of the Magi (Madrid, Lazato)",,,"Adoration of the Magi (Madrid, Lazato)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,205,160,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1215,brueghel_item,brueghel,img/derivatives/simple/18166/thumbnail.jpg,img/derivatives/simple/18166/full.jpg
