"pid","label","title","genre","collection","layout","order","permalink"
"allegory","Allegory","Allegory","Allegory","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/allegory/"
"classical-history","Classical History","Classical History","Classical History","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/classical-history/"
"classical-mythology","Classical Mythology","Classical Mythology","Classical Mythology","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/classical-mythology/"
"flower-still-life-and-nature-study","Flower Still-Life and Nature Study","Flower Still-Life and Nature Study","Flower Still-Life and Nature Study","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/flower-still-life-and-nature-study/"
"gallery-interior","Gallery Interior","Gallery Interior","Gallery Interior","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/gallery-interior/"
"garland","Garland","Garland","Garland","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/garland/"
"landscape","Landscape","Landscape","Landscape","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/landscape/"
"portrait","Portrait","Portrait","Portrait","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/portrait/"
"religious","Religious","Religious","Religious","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/religious/"
"ruins","Ruins","Ruins","Ruins","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/ruins/"
"seascape","Seascape","Seascape","Seascape","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/seascape/"
"staffage-in-church-interior","Staffage in Church Interior","Staffage in Church Interior","Staffage in Church Interior","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/staffage-in-church-interior/"
"staffage-in-landscape","Staffage in Landscape","Staffage in Landscape","Staffage in Landscape","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/staffage-in-landscape/"
"study","Study","Study","Study","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/study/"
"urban-common-and-peasant-life","Urban, Common and Peasant Life","Urban, Common and Peasant Life","Urban, Common and Peasant Life","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/urban-common-and-peasant-life/"
"village-town-and-cityscape","Village, Town and Cityscape","Village, Town and Cityscape","Village, Town and Cityscape","genres_janbrueghel","genrepage_janbrueghel",,"/janbrueghel/genres/village-town-and-cityscape/"
