"pid","title","label","genre","collection","layout","order","permalink"
"allegory","Allegory","Allegory","Allegory","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/allegory/"
"classical-history","Classical History","Classical History","Classical History","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/classical-history/"
"classical-mythology","Classical Mythology","Classical Mythology","Classical Mythology","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/classical-mythology/"
"landscape","Landscape","Landscape","Landscape","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/landscape/"
"magic","Magic","Magic","Magic","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/magic/"
"proverb","Proverb","Proverb","Proverb","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/proverb/"
"religious","Religious","Religious","Religious","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/religious/"
"seascape","Seascape","Seascape","Seascape","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/seascape/"
"study","Study","Study","Study","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/study/"
"urban-common-and-peasant-life","Urban, Common and Peasant Life","Urban, Common and Peasant Life","Urban, Common and Peasant Life","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/urban-common-and-peasant-life/"
"village-town-and-cityscape","Village, Town and Cityscape","Village, Town and Cityscape","Village, Town and Cityscape","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/village-town-and-cityscape/"
