"pid","label","object_type","genre","worktags","iconclass_code","height_cm","width_cm","diameter_cm","location_country","location_city","location_collection","accession_nos_and_notes","private_collection_info","most_recent_sale","collection_type","realdate","numeric_date","medium","support","support_notes","signature","signature_location","support_marks","further_inscription","print_notes","print_type","plate_dimensions","states","printmaker","publisher","series","collaborators","collaborator_notes","collectors_patrons","our_attribution","other_attribution_authorities","bibliography","biblio_reference","exhibition_history","ertz_1979","ertz_2008","bailey_walker","hollstein_no","bad_copy","exclude_from_browsing","provenance","provenance_text","related_works","related_works_notes","copies_and_variants","curatorial_files","general_notes","discussion","external_resources_title","external_resources_url","thumbnail","fullwidth","collection","layout","order","permalink"
2873,"A Summer Landscape with Harvesters","Painting","Staffage in Landscape","Harvesting|Birds|Dog|Horse|Village|Momper|Field|Peasants|Landscape|Labor|Cart|Road|Wagon",,166.4,251.1,,"United States","Toledo, OH","The Toledo Museum of Art","inv. #2003.16",,,"Public","ca. 1610",1610,"Oil","Canvas",,,,,,,,,,,,,"Joos de Momper",,,"Produced in Jan Brueghel's Studio","Ertz 2008-10, #745","The Toledo Museum of Art, Toledo Museum of Art Masterworks, Toledo, 2009, p. 154-55, repr. (col.) and (det.).|Ertz 2008-10, cat. #745",7503,,,745,,,,0,"4440|4441",,,,,,,,,,"img/derivatives/simple/2873/thumbnail.jpg","img/derivatives/simple/2873/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/a-summer-landscape-with-harvesters"
2874,"Abbey of Groenendael near Brussels","Drawing","Landscape","Landscape",,18,28,,"United States","New Haven, CT","Yale University Art Gallery","1961.62.41",,,"Public",,,"Pen and brown ink and watercolor over sketch in black chalk","Paper",,,,,,,,,,,,,,,,,"Bailey/Walker cat. #NEWH.YU.18","New Haven 1970, p. 287, nr. 526|van Sprang 2003, p. 10-17","7360|7361",,,,"NEWH.YU.18",,,,6925,"Egmont Collection, Yale Library Transfer",,,,,,1,"Yale University Art Gallery","http://artgallery.yale.edu/collections/objects/58586","img/derivatives/simple/2874/thumbnail.jpg","img/derivatives/simple/2874/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/abbey-of-groenendael-near-brussels"
2875,"Abraham sending Hagar and Ismael into the Forest","Painting","Religious","Traveling|Bridge|House|Watermill|Forest|Stream|Old Testament",,34.7,49.2,,"Germany","Leipzig","Museum der Bildenden Künste","inv. #2228",,,"Public","ca. 1590",1590,"Oil","Copper",,,,,,,,,,,,,,,,"Produced Outside Jan Brueghel's Studio","Ertz 2008-10, #205","Ertz 2008-10, cat. #205",685,,,205,,,,0,4442,"Bequest of Senger-Maurer-Dinckler, 1972",,,,,,,,,"img/derivatives/simple/2875/thumbnail.jpg","img/derivatives/simple/2875/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/abraham-sending-hagar-and-ismael-into-the-forest"
2876,"Adoration of the Magi (Antwerp)","Painting","Religious","Resting|Horse|Bridge|House|Pieter Bruegel|River|Burghers|Soldiers|Christ|New Testament|Virgin Mary",,25.5,35,,"Belgium","Antwerp","Museum Mayer van den Bergh","inv. #497",,,"Public","ca. 1594",1594,"Oil","Copper",,,,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #229","Ertz 2008-10, cat. #229|Antwerp/Essen/Vienna 1997, #4","696|7510",,,229,,,,,"4443|4444|4445|4446","Acquired from Essingh, Paris, between 1815-1843|Collection of A.J. Essingh, Cologne|Cologne auction, September 15, 1865, #III (after Mireur: 2062fr.)|Acquired by Mayer family","2880|2883|2877|2881|2878|2882|2879",,,,,2,,,"img/derivatives/simple/2876/thumbnail.jpg","img/derivatives/simple/2876/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/adoration-of-the-magi-antwerp"
2877,"Adoration of the Magi (Antwerp, Koninklijk Museum voor Schone Kunsten)","Painting","Religious","Resting|Horse|House|River|Burghers|Children|Soldiers|Christ|New Testament|Virgin Mary",,25.8,35.1,,"Belgium","Antwerp","Koninklijk Museum voor Schone Kunsten","inv. #922",,,"Public",1600,1600,"Oil","Copper",,"BRUEGHEL 1600",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #230|Ertz 1979, #63","Ertz 1979, cat. #63, fig. 510|Essen 1997, #3|Ertz 2008-10, cat. #230","687|686|688",,63,230,,,,,4447,"Acquired by M.J. Langereld, Brussels, 1913","2881|2878|2882|2876|2880|2883|2879",,,,,3,,,"img/derivatives/simple/2877/thumbnail.jpg","img/derivatives/simple/2877/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/adoration-of-the-magi-antwerp-koninklijk-museum-voor-schone-kunsten"
2878,"Adoration of the Magi (Antwerp, Mayer-van den Bergh)","Painting","Religious","Resting|Horse|Bridge|House|Pieter Bruegel|River|Burghers|Children|Soldiers|Christ|New Testament|Virgin Mary",,20.7,32,,"Belgium","Antwerp","Museum Mayer van den Bergh","inv. #806",,,"Public","ca. 1600",1600,"Oil","Copper",,,,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #231","Essen 1997, #5|Ertz 2008-10, cat. #231","7508|7511",,,231,,,,,4448,"Purchased from Farr, London, 1897","2882|2876|2880|2883|2877|2881|2879",,,,,"4|5",,,"img/derivatives/simple/2878/thumbnail.jpg","img/derivatives/simple/2878/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/adoration-of-the-magi-antwerp-mayer-van-den-bergh"
2879,"Adoration of the Magi (England)","Painting","Religious","Resting|Horse|Bridge|House|Pieter Bruegel|River|Burghers|Children|Soldiers|Christ|New Testament|Virgin Mary",,25.5,34.6,,,,,,"England, Private Collection",,"Private","ca. 1598",1598,"Oil","Copper",,,,,,,,,,,,,,,,"Produced in Jan Brueghel's Studio","Ertz 2008-10, #227 as Jan and studio","Ertz 2008-10, cat. #227",7512,,,227,,,,,"4449|4450|4451|4452","Christie's, London|Baron Paul Hatrany, before 2003|Christie's, London, May 12, 2003|Johnny van Haeften Ltd., London, 2004 (as 'Jan I')","2877|2881|2878|2882|2876|2880|2883",,,"418|419|420|421|422|423",,6,,,"img/derivatives/simple/2879/thumbnail.jpg","img/derivatives/simple/2879/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/adoration-of-the-magi-england"
2880,"Adoration of the Magi (London)","Painting","Religious","Resting|Horse|Bridge|House|Pieter Bruegel|River|Burghers|Children|Soldiers|Christ|New Testament|Virgin Mary",,32.9,48,,"England","London","National Gallery","inv. #3547",,,"Public",1598,1598,"Tempera","Vellum",,"BRUEGHEL in. 1598",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #226|Ertz 1979, #48","Martin 1970, 13-15|Ertz 1979, cat. #48, fig. 506|Ertz 2008-10, cat. #226","7513|7514|7515",,48,226,,,,,"4453|4454","Donated by A. A. de Pass, 1920","2883|2877|2881|2878|2882|2876|2879",,,,,7,"National Gallery","http://www.nationalgallery.org.uk/paintings/jan-brueghel-the-elder-the-adoration-of-the-kings","img/derivatives/simple/2880/thumbnail.jpg","img/derivatives/simple/2880/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/adoration-of-the-magi-london"
2881,"Adoration of the Magi (Rome)","Painting","Religious","Resting|Horse|Bridge|House|River|Burghers|Soldiers|Christ|New Testament|Virgin Mary",,25.8,35.3,,"Italy","Rome","Galleria Colonna","inv. #684",,,"Public",,,"Oil","Copper",,,,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #224b",,,,,224,,,,0,,,"2878|2882|2876|2880|2883|2877|2879",,,,,8,,,"img/derivatives/simple/2881/thumbnail.jpg","img/derivatives/simple/2881/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/adoration-of-the-magi-rome"
2882,"Adoration of the Magi (St. Petersburg)","Painting","Religious","Resting|Horse|Bridge|House|Pieter Bruegel|River|Burghers|Children|Soldiers|Christ|New Testament|Virgin Mary",,26.5,35.2,,"Russia","St. Petersburg","The Hermitage","inv. #3090",,,"Public","1598-1600",1598,"Oil","Copper",,"BRUEGHEL",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #228|Ertz 1979, #50","Ertz 1979, cat. #50, fig. 508|Ertz 2008-10, cat. #228","7571|7572",,50,228,,,,0,4455,"Came from the Semenor-Tjanschanski collection, 1915","2876|2880|2883|2877|2881|2878|2879",,,,,9,,,"img/derivatives/simple/2882/thumbnail.jpg","img/derivatives/simple/2882/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/adoration-of-the-magi-st-petersburg"
