"pid","title","location_country","location_city","collection","layout","order","permalink"
"buenos-aires","Buenos Aires","Argentina","Buenos Aires","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/buenos-aires/"
"graz","Graz","Austria","Graz","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/graz/"
"salzburg","Salzburg","Austria","Salzburg","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/salzburg/"
"vienna","Vienna","Austria","Vienna","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/vienna/"
"antwerp","Antwerp","Belgium","Antwerp","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/antwerp/"
"brussels","Brussels","Belgium","Brussels","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/brussels/"
"deurne","Deurne","Belgium","Deurne","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/deurne/"
"geraardsbergen","Geraardsbergen","Belgium","Geraardsbergen","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/geraardsbergen/"
"ghent","Ghent","Belgium","Ghent","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/ghent/"
"lier","Lier","Belgium","Lier","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/lier/"
"montreal","Montreal","Canada","Montreal","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/montreal/"
"ottawa","Ottawa","Canada","Ottawa","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/ottawa/"
"toronto","Toronto","Canada","Toronto","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/toronto/"
"santiago","Santiago","Chile","Santiago","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/santiago/"
"kromeriz","Kroměříž","Czech Republic","Kroměříž","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/kromeriz/"
"prague","Prague","Czech Republic","Prague","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/prague/"
"copenhagen","Copenhagen","Denmark","Copenhagen","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/copenhagen/"
"birmingham","Birmingham","England","Birmingham","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/birmingham/"
"cambridge","Cambridge","England","Cambridge","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/cambridge/"
"corsham","Corsham","England","Corsham","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/corsham/"
"derbyshire","Derbyshire","England","Derbyshire","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/derbyshire/"
"leeds","Leeds","England","Leeds","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/leeds/"
"london","London","England","London","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/london/"
"manchester","Manchester","England","Manchester","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/manchester/"
"oxford","Oxford","England","Oxford","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/oxford/"
"plymouth","Plymouth","England","Plymouth","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/plymouth/"
"surrey","Surrey","England","Surrey","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/surrey/"
"wiltshire","Wiltshire","England","Wiltshire","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/wiltshire/"
"windsor","Windsor","England","Windsor","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/windsor/"
"angers","Angers","France","Angers","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/angers/"
"avignon","Avignon","France","Avignon","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/avignon/"
"bergues","Bergues","France","Bergues","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/bergues/"
"besancon","Besançon","France","Besançon","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/besançon/"
"chalone-sur-marne","Châlone-sur-Marne","France","Châlone-sur-Marne","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/chalone-sur-marne/"
"chartres","Chartres","France","Chartres","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/chartres/"
"dijon","Dijon","France","Dijon","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/dijon/"
"lille","Lille","France","Lille","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/lille/"
"lyon","Lyon","France","Lyon","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/lyon/"
"montpellier","Montpellier","France","Montpellier","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/montpellier/"
"nantes","Nantes","France","Nantes","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/nantes/"
"narbonne","Narbonne","France","Narbonne","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/narbonne/"
"nimes","Nîmes","France","Nîmes","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/nimes/"
"paris","Paris","France","Paris","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/paris/"
"pau","Pau","France","Pau","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/pau/"
"quimper","Quimper","France","Quimper","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/quimper/"
"sermentizon","Sermentizon","France","Sermentizon","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/sermentizon/"
"valenciennes","Valenciennes","France","Valenciennes","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/valenciennes/"
"aachen","Aachen","Germany","Aachen","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/aachen/"
"aschaffenburg","Aschaffenburg","Germany","Aschaffenburg","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/aschaffenburg/"
"bamberg","Bamberg","Germany","Bamberg","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/bamberg/"
"berlin","Berlin","Germany","Berlin","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/berlin/"
"bonn","Bonn","Germany","Bonn","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/bonn/"
"braunschweig","Braunschweig","Germany","Braunschweig","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/braunschweig/"
"cologne","Cologne","Germany","Cologne","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/cologne/"
"darmstadt","Darmstadt","Germany","Darmstadt","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/darmstadt/"
"dessau","Dessau","Germany","Dessau","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/dessau/"
"dresden","Dresden","Germany","Dresden","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/dresden/"
"frankfurt","Frankfurt","Germany","Frankfurt","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/frankfurt/"
"gotha","Gotha","Germany","Gotha","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/gotha/"
"hamburg","Hamburg","Germany","Hamburg","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/hamburg/"
"hannover","Hannover","Germany","Hannover","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/hannover/"
"kassel","Kassel","Germany","Kassel","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/kassel/"
"leipzig","Leipzig","Germany","Leipzig","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/leipzig/"
"mainz","Mainz","Germany","Mainz","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/mainz/"
"munich","Munich","Germany","Munich","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/munich/"
"pommersfelden","Pommersfelden","Germany","Pommersfelden","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/pommersfelden/"
"potsdam","Potsdam","Germany","Potsdam","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/potsdam/"
"schwerin","Schwerin","Germany","Schwerin","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/schwerin/"
"stuttgart","Stuttgart","Germany","Stuttgart","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/stuttgart/"
"wuppertal","Wuppertal","Germany","Wuppertal","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/wuppertal/"
"wurzburg","Würzburg","Germany","Würzburg","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/wurzburg/"
"budapest","Budapest","Hungary","Budapest","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/budapest/"
"dublin","Dublin","Ireland","Dublin","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/dublin/"
"florence","Florence","Italy","Florence","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/florence/"
"milan","Milan","Italy","Milan","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/milan/"
"naples","Naples","Italy","Naples","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/naples/"
"parma","Parma","Italy","Parma","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/parma/"
"rome","Rome","Italy","Rome","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/rome/"
"turin","Turin","Italy","Turin","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/turin/"
"tokyo","Tokyo","Japan","Tokyo","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/tokyo/"
"vaduz","Vaduz","Liechtenstein","Vaduz","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/vaduz/"
"amsterdam","Amsterdam","Netherlands","Amsterdam","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/amsterdam/"
"enschede","Enschede","Netherlands","Enschede","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/enschede/"
"haarlem","Haarlem","Netherlands","Haarlem","locations_janbrueghel","locationpage_janbrueghel",,"/janbrueghel/locations/haarlem/"
