"pid","title","location_country","location_city","collection","layout","order","permalink"
"amsterdam","Amsterdam","Netherlands","Amsterdam","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/amsterdam/"
"antwerp","Antwerp","Belgium","Antwerp","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/antwerp/"
"banbury","Banbury","England","Banbury","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/banbury/"
"berlin","Berlin","Germany","Berlin","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/berlin/"
"besancon","Besançon","France","Besançon","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/besancon/"
"braunschweig","Braunschweig","Germany","Braunschweig","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/braunschweig/"
"brussels","Brussels","Belgium","Brussels","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/brussels/"
"chatsworth","Chatsworth","England","Chatsworth","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/chatsworth/"
"chicago","Chicago, IL","United States","Chicago, IL","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/chicago/"
"dresden","Dresden","Germany","Dresden","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/dresden/"
"florence","Florence","Italy","Florence","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/florence/"
"hamburg","Hamburg","Germany","Hamburg","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/hamburg/"
"leiden","Leiden","Netherlands","Leiden","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/leiden/"
"london","London","England","London","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/london/"
"madrid","Madrid","Spain","Madrid","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/madrid/"
"milan","Milan","Italy","Milan","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/milan/"
"munich","Munich","Germany","Munich","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/munich/"
"new-york","New York, NY","United States","New York, NY","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/new-york/"
"oslo","Oslo","Norway","Oslo","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/oslo/"
"oxford","Oxford","England","Oxford","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/oxford/"
"paris","Paris","France","Paris","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/paris/"
"prague","Prague","Czech Republic","Prague","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/prague/"
"rennes","Rennes","France","Rennes","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/rennes/"
"rome","Rome","Italy","Rome","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/rome/"
"rotterdam","Rotterdam","Netherlands","Rotterdam","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/rotterdam/"
"san-diego","San Diego, CA","United States","San Diego, CA","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/san-diego/"
"vienna","Vienna","Austria","Vienna","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/vienna/"
"washington","Washington, DC","United States","Washington, DC","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/washington/"
"winterthur","Winterthur","Switzerland","Winterthur","locations_pieterbruegel","locationpage_pieterbruegel",,"/pieterbruegel/locations/winterthur/"
