"pid","label","object_type","genre","worktags","iconclass_code","height_cm","width_cm","diameter_cm","location_country","location_city","location_collection","accession_nos_and_notes","private_collection_info","most_recent_sale","collection_type","realdate","numeric_date","medium","support","support_notes","signature","signature_location","support_marks","further_inscription","print_notes","print_type","plate_dimensions","states","printmaker","publisher","series","collaborators","collaborator_notes","collectors_patrons","our_attribution","other_attribution_authorities","bibliography","exhibition_history","ertz_1979","ertz_2008","bailey_walker","hollstein_no","provenance","related_works","related_works_notes","copies_and_variants","curatorial_files","general_notes","discussion","external_resources_title","external_resources_url","thumbnail","fullwidth","collection","pieterbruegel_item","order","permalink"
9978,"Twelve Proverbs","Painting","Proverb",,,74.5,98.4,,"Belgium","Antwerp","Museum Mayer van den Bergh",,,,"Public",1558,1558,"Oil","Panel",,"B..ueghel 1...8","Left of center in the medallion at lower right",,"Inscribed at upper center: Haec perhibent vitae gestu ridenda faceto/ consilia et mores ingeniose notant [These everyday scenes give advice in a humorous way and cleverly criticise human behaviour].  For more inscriptions, see Sellink pg. 123.",,,,,,,,,,,,"Sellink, cat. #72: accepted., Rejected. Coppy by PB II. Tolnay 1935., Accepted. Friedländer 1937., Doubtful, Marijnissen 1988","Antwerp 1978, pp. 40-46|Gibson 1977, pp. 66|Marijnissen 1988, pp. 383-84|Seipel 1998, p. 160|Roberts-Jones 2002, pp. 212-13",,,,,,9381,,,,,"Painting is a composite of twelve medalions, each 21 cm in diameter. Oak panel.",,"Museum Mayer van den Bergh","http://www.museummayervandenbergh.be/Museum_MayerVanDenBergh_EN/MayerVanDenBerghEN/What-is-there-to-see/Masterpieces/Twelve-proverbs-on-wooden-plates.html","img/derivatives/simple/9978/thumbnail.jpg","img/derivatives/simple/9978/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/twelve-proverbs"
9979,"Dulle Griet","Painting","Proverb","Death|Creatures|Bosch|Demons|Hell/Underworld|Household items","31D150, 33C1, 31A72",117.4,162,,"Belgium","Antwerp","Museum Mayer van den Bergh",,,,"Public",1562,1562,"Oil","Panel",,"B .....L MDLXII [?]","Lower left",,,,,,,,,,,,,,"Sellink, cat. #116: accepted., Accepted, c.1565-66. Tolnay 1935., Accepted, 1562?. Friedländer 1937., Accepted, 1562. Grossmann 1973., Accepted. Marijnissen 1988.","Gibson 1977, 102-08|Sullivan 1977|Antwerp 1978, 33-40|Marijnissen 1988, pp. 187-94|Serebrennikov 1993|Roberts-Jones 2002, pp. 89-97|Gibson 2006, pp. 124-44",,,,,,"9380|9382|9383|9384|9385",,,,,"Carl van Mander mentions it in 1604 as forming part of the collection of German emperor, Rudolph II at Prague. It is probably to this picture that reference is made in a manuscript preserved at Skokloster Castle in Sweden, where mound the works to be found at the royal palace at Prague in 1647-48 is mentioned ""A picture representing a fire, in which a female fury is seen surrounded by various monsters"". The picture, in due course, passed from Prague into private collection in Sweden. In the nineteenth century it was in the Brogten Collection| thence it reached the Christian Hammer Collection in Stockholm where it hung with other works taken from Prague in the sack of the city.",,"Museum Mayer van den Bergh","http://www.museummayervandenbergh.be/Museum_MayerVanDenBergh_EN/MayerVanDenBerghEN/What-is-there-to-see/Masterpieces/Mad-Meg-(Dulle-Griet).html","img/derivatives/simple/9979/thumbnail.jpg","img/derivatives/simple/9979/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/dulle-griet"
9981,"Two Monkeys","Painting","Allegory","Monkey|City|Harbor|Antwerp|Scheldt River|Boat",,19.9,23,,"Germany","Berlin","Gemäldegalerie, Staatliche Museen zu Berlin",2077,,,"Public",1562,1562,"Oil","Panel",,"BRUEGEL MDLXII","Lower left",,,,,,,,,,,,,,"Sellink, cat. #118: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Berlin 1975, pp. 68-70|Sullivan 1981|Monballieu 1983|Marijnissen 1988, pp. 201-03|Müller 1999, pp. 142-55|Roberts-Jones 2002, pp. 192-93",,,,,,9392,,,,,,,"Staatliche Museum of Berlin","http://www.smb-digital.de/eMuseumPlus","img/derivatives/simple/9981/thumbnail.jpg","img/derivatives/simple/9981/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/two-monkeys"
9982,"The Proverbs","Painting","Proverb","Encyclopedic|Proverbs|Swine|House|Frans Hogenberg|Pieter the Younger|Fire|Beggars|Burghers|Friars|Servants|Household items|Boat",86,117.5,163.5,,"Germany","Berlin","Gemäldegalerie, Staatliche Museen zu Berlin",1720,,,"Public",1559,1559,"Oil","Panel",,"BRUEGEL 1559","Lower right",,,,,,,,,,,,,,"Sellink, cat. #76: accepted.","Berlin 1975, 69|Gibson 1977, pp. 65-89|Marijnissen 1988, pp. 133-45|Ertz 1998, pp. 312-19|Müller 1999, pp. 155-71|Duckwitz 2001-02|Meadow 2002|Roberts-Jones 2002, pp. 202-12|Grosshans 2003|Mieder 2004",,,,,,9393,,"Copies made in the workshop of his son Pieter Brueghel (Ertz 1998, Van den Brink 2001-02)",,,,,,,"img/derivatives/simple/9982/thumbnail.jpg","img/derivatives/simple/9982/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-proverbs"
9983,"The Fall of Icarus","Painting","Classical Mythology","Catastrophe|Death|Coast|Field|Farmers|Boat","95A(ICARUS)68",73.5,112,,"Belgium","Brussels","Musées Royaux des Beaux-Arts de Belgique",,,,"Public",1555,1555,"Oil","Canvas",,,,,,,,,,,,,,,,,"Accepted, ca. 1555. Tolnay 1935., Accepted, ca. 1558?. Friedländer 1937., Doubtful. Grossmann 1973., Doubtful, 1555. Marijnissen 1988.",,,,,,,"9394|9395",,,,,,,"Musées Royaux des Beaux-Arts de Belgique","http://www.fine-arts-museum.be/fr/la-collection/pieter-i-bruegel-la-chute-dicare","img/derivatives/simple/9983/thumbnail.jpg","img/derivatives/simple/9983/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-fall-of-icarus"
9984,"Fall of the Rebel Angels","Painting","Religious","Apocalyptic|Creatures|Bosch|Frans Floris|Angels|Archangel Michael|Book of Revelation|Demons","11G31",117,162,,"Belgium","Brussels","Musées Royaux des Beaux-Arts de Belgique",,,,"Public",1562,1562,"Oil","Panel",,"M.D. LXII / BRUEGEL","Lower left",,,,,,,,,,,,,,"Sellink, cat. #114: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.",,,,,,,"9396|9397",,,,,,,"Musées Royaux des Beaux-Arts de Belgique","http://www.fine-arts-museum.be/fr/la-collection/pieter-i-bruegel-la-chute-des-anges-rebelles","img/derivatives/simple/9984/thumbnail.jpg","img/derivatives/simple/9984/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/fall-of-the-rebel-angels"
9985,"The Census at Bethlehem","Painting","Religious","Activities|Everyday life|Seasons|Winter|Inn|Village|Pieter the Younger|Bethlehem|Children|Holy family|New Testament|Virgin Mary|Landscape|Wagon","73B123",115.3,164.5,,"Belgium","Brussels","Musées Royaux des Beaux-Arts de Belgique",,,,"Public",1566,1566,"Oil","Panel",,"BRUEGEL / 1566","Lower right",,,,,,,,,,,,,,"Sellink, cat. #152: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Gibson 1977, pp. 144-45|Marijnissen 1988, pp. 296-303|Van den Brink 2001-02, 134-48|Currie 2001-02|Roberts-Jones 2002, pp. 180-87",,,,,,"9398|9399",,"Copy by Pieter the Younger in Musee de Beaux Arts of Caen",,,,,"Musées Royaux des Beaux-Arts de Belgique","http://www.fine-arts-museum.be/fr/la-collection/pieter-i-bruegel-le-denombrement-de-bethleem","img/derivatives/simple/9985/thumbnail.jpg","img/derivatives/simple/9985/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-census-at-bethlehem"
9986,"The Adoration of the Magi","Painting","Religious","Bethlehem|Crowd|Christ|Holy family|New Testament|Virgin Mary","73B57",124,169,,"Belgium","Brussels","Musées Royaux des Beaux-Arts de Belgique",,,,"Public",,,"Watercolor","Cloth",,,,,,,,,,,,,,,,,"Sellink: rejected., Rejected, JB? Tolnay 1935., Accepted, ca. 1557. Friedländer 1937., Accepted, ca. 1556? Grossmann 1973., Doubtful, 1556.  Marijnissen 1988.","Philippot 1969|Marijnissen 1969|Gibson 1977, pp. 139-40|Marijinessen 1988, pp. 376-77|Roberts-Jones 2002, pp. 62-65",,,,,,"9400|9401",,,,,,,"Musées Royaux des Beaux-Arts de Belgique","http://www.fine-arts-museum.be/fr/la-collection/pieter-i-bruegel-ladoration-des-mages","img/derivatives/simple/9986/thumbnail.jpg","img/derivatives/simple/9986/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-adoration-of-the-magi"
9987,"Yawning Man","Painting","Study","Everyday life|Tronie",,12.6,9.2,,"Belgium","Brussels","Musées Royaux des Beaux-Arts de Belgique",,,,"Public",,,"Oil","Panel",,"P","Center right",,,,,,,,,,,,,,"Sellink: rejected.","Ertz 1998, p. 123|Gibson 2006, pp. 57-59",,,,,,"9402|9403",,,,,"Possibly Pieter Brueghel the Younger",,"Musées Royaux des Beaux-Arts de Belgique","http://www.fine-arts-museum.be/fr/la-collection/pieter-i-bruegel-dapres-le-bailleur","img/derivatives/simple/9987/thumbnail.jpg","img/derivatives/simple/9987/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/yawning-man"
9988,"Winter Landscape with a Bird Trap","Painting","Landscape",,,37,55.5,,"Belgium","Brussels","Musées Royaux des Beaux-Arts de Belgique",,,,"Public",1565,1565,"Oil","Panel",,"BRUEGEL / M.D.LXV","Lower right",,,,,,,,,,,,,,"Sellink, cat. #139: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Gibson 1977, p. 148|Marijnissen 1988, pp. 279-82|Van den Brink 2001-02, pp. 160-72|Roberts-Jones 2002, pp. 44-48",,,,,,"9404|9405",,,,,,,"Musées Royaux des Beaux-Arts de Belgique","http://www.fine-arts-museum.be/fr/la-collection/pieter-i-bruegel-paysage-dhiver-avec-patineurs-et-trappe-aux-oiseaux","img/derivatives/simple/9988/thumbnail.jpg","img/derivatives/simple/9988/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/winter-landscape-with-a-bird-trap"
