pid,janonly,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
2874,,,,Abbey of Groenendael near Brussels,Drawing,Landscape,Landscape,,18,28,,,Paper,Pen and brown ink and watercolor over sketch in black chalk,,,,,,,,,,,,,,Bailey/Walker cat. #NEWH.YU.18,,,NEWH.YU.18,,Public,United States,"New Haven, CT",Yale University Art Gallery,1961.62.41,6925,"New Haven 1970, p. 287, nr. 526; van Sprang 2003, p. 10-17",,,,,http://artgallery.yale.edu/collections/objects/58586,"{% cite 9006 %} p. 287, nr. 526, {% cite 9256 %} p. 10-17",1,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2874/thumbnail.jpg,img/derivatives/simple/2874/full.jpg
2883,,<a href='/brughel/2877'><img src='/img/derivatives/simple/2877/thumbnail.jpg' /></a>|<a href='/brughel/2881'><img src='/img/derivatives/simple/2881/thumbnail.jpg' /></a>|<a href='/brughel/2878'><img src='/img/derivatives/simple/2878/thumbnail.jpg' /></a>|<a href='/brughel/2882'><img src='/img/derivatives/simple/2882/thumbnail.jpg' /></a>|<a href='/brughel/2876'><img src='/img/derivatives/simple/2876/thumbnail.jpg' /></a>|<a href='/brughel/2880'><img src='/img/derivatives/simple/2880/thumbnail.jpg' /></a>|<a href='/brughel/2879'><img src='/img/derivatives/simple/2879/thumbnail.jpg' /></a>,2877|2881|2878|2882|2876|2880|2879,Adoration of the Magi (Vienna),Painting,Religious,Resting Horse Bridge House Pieter_Bruegel River Burghers Children Soldiers Christ New_Testament Virgin_Mary,1598,33,48,,,Copper,,BRUEGHEL 1598,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #225, Ertz 1979, #49, Honig database",49,225,,,Public,Austria,Vienna,Kunsthistorisches Museum,inv. #617,4456,"Thiéry 1953, p. 175; Ertz 1979, cat. #49, fig. 507; Essen 1997; Ertz 2008-10, cat. #225","Brussels 1980, cat. #120",2877|2881|2878|2882|2876|2880|2879,,,http://bilddatenbank.khm.at/viewArtefact?id=344,"{% cite 8942 %}  p. 175, {% cite 9004 %}  cat. #49, fig. 507, {% cite 9145 %} , {% cite 8900 %} cat. #225",10,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2883/thumbnail.jpg,img/derivatives/simple/2883/full.jpg
2989,,<a href='/brughel/2984'><img src='/img/derivatives/simple/2984/thumbnail.jpg' /></a>|<a href='/brughel/2983'><img src='/img/derivatives/simple/2983/thumbnail.jpg' /></a>|<a href='/brughel/2985'><img src='/img/derivatives/simple/2985/thumbnail.jpg' /></a>,2984|2983|2985,Bouquet in a Glass Vase (New York),Painting,Flower Still-Life & Nature Study,Insects Glass Vase Flowers,,25.5,19,,,,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"RKD as Jan Brueghel the Elder, Ertz 2008-10, variant of #429",,,,,Private,,,,"New York, Private Collection",4724|4725,,,2984|2983|2985,,,,,100,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2989/thumbnail.jpg,img/derivatives/simple/2989/full.jpg
9668,,,,Figure Study with Riders and Dancing Peasants,Drawing,Study,Dancing Horse Burghers Peasants Wagon,,20.4,33.6,,,Paper,"Red chalk, [weiß gehöht]",,,,Watermark: crowned Saxon crest,,,,,,,,,,Bailey/Walker cat. #DARM.HL.7,,,DARM.HL.7,,Public,Germany,Darmstadt,Hessisches Landesmuseum,AE 429,,"Bergsträsser 1979, p. 44, nr. 32, ill.",,,,,,"{% cite 8885 %} p. 44, nr. 32, ill.",1000,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9668/thumbnail.jpg,img/derivatives/simple/9668/full.jpg
9672,,,,Studies of Boots and Barges,Drawing,Study,Boat,1591-1596,21.2,27.7,,,Paper,"Pen and brown ink, blue and brown wash",,,,"""Roma 15[?]""",,,,,,,,,,Bailey/Walker cat. #DRES.KK.5,,,DRES.KK.5,,Public,Germany,Dresden,"Staatliche Kunstsammlungen Dresden, Kupferstich-Kabinett",C 864,,"Dresden 2011-12, p. 24-25, nr. 10, ill.","Dresden 2011-12, nr. 10",,,,,,1004,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9672/thumbnail.jpg,img/derivatives/simple/9672/full.jpg
9673,,<a href='/brughel/9696'><img src='/img/derivatives/simple/9696/thumbnail.jpg' /></a>|<a href='/brughel/9694'><img src='/img/derivatives/simple/9694/thumbnail.jpg' /></a>|<a href='/brughel/3657'><img src='/img/derivatives/simple/3657/thumbnail.jpg' /></a>|<a href='/brughel/9805'><img src='/img/derivatives/simple/9805/thumbnail.jpg' /></a>,9696|9694|3657|9805,Grotto,Drawing,Landscape,,,34.8,25.2,,,Paper,"Pen and brush in brown, brown and blue-gray wash",,,,"""Joos de Momper"" (later hand); Jan Brueghel signature (revealed after restoration)",,,,,,,,,,Bailey/Walker cat. #DRES.KK.6,,,DRES.KK.6,,Public,Germany,Dresden,"Staatliche Kunstsammlungen Dresden, Kupferstich-Kabinett",C 3993,,"Dresden 2011-12, p. 127, nr. 103, ill.","Dresden 2011-12, nr. 103",9696|9694|3657|9805,,,,,1005,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9673/thumbnail.jpg,img/derivatives/simple/9673/full.jpg
9675,,,,Village Street with Wagons,Drawing,"Village, Town and Cityscape",,,11.2,17.3,,,Paper,"Pen and brown ink, blue wash",,,,"""Fluweele Breugel Ao 1614""",,,,,,,,,,Bailey/Walker cat. #EDIN.NG.1,,,EDIN.NG.1,,Public,Scotland,Edinburgh,National Gallery of Scotland,D 1118,6714|6715|6716,"Andrews 1985, vol.1, p. 15, D 1118",,,,,,,1007,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9675/thumbnail.jpg,img/derivatives/simple/9675/full.jpg
9676,,,,Landscape with Two Peasants and Cattle,Drawing,Landscape,,ca. 1605-ca. 1610,19.8,31.6,,,Paper,Pen and brown ink,,,,"""[...] e Kosten [...] No 9""; (Verso?) ""P Bruegel""; Watermark: Horn. Near Heawood 2632",,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #EDIN.NG.2,,,EDIN.NG.2,,Public,Scotland,Edinburgh,National Gallery of Scotland,D 1341,6717|6718|6719,"Winner 1972, p. 141-2, fig. 20; Berlin 1975, p. 100, nr. 119, fig. 226; Grimm 1981, p. 258, fig. 7; Andrews 1985, vol. 1, p. 15, D 1341, fig. 99 (vol. 2, p. 25); Washington/Fort Worth 1990-91, p. 130-1, nr. 56, ill.","Berlin 1975, nr. 119|Washington/Fort Worth 1990-91, nr. 56",,,,,,1008,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9676/thumbnail.jpg,img/derivatives/simple/9676/full.jpg
9679,,<a href='/brughel/3868'><img src='/img/derivatives/simple/3868/thumbnail.jpg' /></a>,3868,A Village by a River,Drawing,"Village, Town and Cityscape",,,50,85.5,,,Paper,"Pen and brown ink, colored wash",,,,"""I. Bruegel""",,,,,,,,,,Bailey/Walker cat. #EDIN.NG.8,,,EDIN.NG.8,,Public,Scotland,Edinburgh,National Gallery of Scotland,D 1702,6731|6732|6733,"Baxandall 1961, nr. 14 (as original); Andrews 1985, vol. 1, p. 15-6, D 1702",,3868,,,,{% cite 9263 %} nr. 14,1011,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9679/thumbnail.jpg,img/derivatives/simple/9679/full.jpg
9681,,,,Two Groups of Men in Hats,Drawing,"Village, Town and Cityscape",,,12.4,20.9,,,Paper,"Pen and brown ink, blue and brown wash, over black chalk",,,,,,,,,,,,,,Bailey/Walker cat. #FLOR.UF.3,,,FLOR.UF.3,,Public,Italy,Florence,Galleria degli Uffizi,2374 F,6735,"Kloek 1975, nr. 53",,,,,,,1013,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9681/thumbnail.jpg,img/derivatives/simple/9681/full.jpg
