"pid","object_pid","label","artist","provenance_date","provenance_location","provenance_text","collection","order"
"4440","2873","A Summer Landscape with Harvesters","janbrueghel","2002","London","Richard Green Gallery","provenance",
"4441","2873","A Summer Landscape with Harvesters","janbrueghel","2003","Toledo, OH","Purchased by the Toledo Museum of Art with funds from the Florence Scott Libbey Bequest","provenance",
"6925","2874","Abbey of Groenendael near Brussels","janbrueghel",,"New Haven, CT","Egmont Collection, Yale Library Transfer","provenance",
"4442","2875","Abraham sending Hagar and Ismael into the Forest","janbrueghel","1972","Leipzig","Bequeathed by Senger-Maurer-Dinckler to Museum der Bildenden Künste","provenance",
"4443","2876","Adoration of the Magi (Antwerp)","janbrueghel","Between 1815-1843","Paris","Acquired by A.J. Essingh","provenance",
"4444","2876","Adoration of the Magi (Antwerp)","janbrueghel",,"Cologne","Collection of A.J. Essingh","provenance",
"4445","2876","Adoration of the Magi (Antwerp)","janbrueghel","Sep 15 1865","Cologne","Sale, Lot #III. (according to Mireur: 2062 fr.)","provenance",
"4446","2876","Adoration of the Magi (Antwerp)","janbrueghel",,"Antwerp","Acquired by the Mayer family","provenance",
"4447","2877","Adoration of the Magi (Antwerp, Koninklijk Museum voor Schone Kunsten)","janbrueghel","1913","Brussels","Acquired by M.J. Langereld","provenance",
"4448","2878","Adoration of the Magi (Antwerp, Mayer-van den Bergh)","janbrueghel","1897","London","Purchased from Farr, London","provenance",
"4449","2879","Adoration of the Magi (England)","janbrueghel",,"London","Sale, Christie's","provenance",
"4450","2879","Adoration of the Magi (England)","janbrueghel","Before 2003","England","Acquired by Baron Paul Hantrany","provenance",
"4451","2879","Adoration of the Magi (England)","janbrueghel","May 12 2003","London","Sale, Christie's","provenance",
"4452","2879","Adoration of the Magi (England)","janbrueghel","2004","London","Collection of Johnny van Haeften Ltd. (as 'Jan I')","provenance",
"4453","2880","Adoration of the Magi (London)","janbrueghel","19th century to 20th century","England","Alfred A. de Pass","provenance",
"4454","2880","Adoration of the Magi (London)","janbrueghel","1920","London","Donated by A. A. de Pass to National Gallery","provenance",
"4455","2882","Adoration of the Magi (St. Petersburg)","janbrueghel","Until 1915","Russia","Collection of Semenor-Tjanschanski","provenance",
"4456","2883","Adoration of the Magi (Vienna)","janbrueghel","1806","Vienna","Purchased by Kunsthistorisches Museum","provenance",
"4457","2884","Aeneas Carrying Anchises from the Burning Troy (Amsterdam)","janbrueghel","2004","Paris","Private Collection","provenance",
"4458","2884","Aeneas Carrying Anchises from the Burning Troy (Amsterdam)","janbrueghel","2004","London","Collection of Johnny van Haeften Ltd.","provenance",
"4459","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","janbrueghel","1996","Solingen","Gallery Müllenmeister","provenance",
"4460","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","janbrueghel","Oct 15 1996","Vienna","Sale, Dorotheum, Lot #113","provenance",
"4461","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","janbrueghel","Apr 7 2006","Vienna","Sale, Dorotheum, Lot #121","provenance",
"4462","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","janbrueghel","Sep 5 2006","Munich","Sale, Hampel","provenance",
"4463","2886","Aeneas Carrying Anchises from the Burning Troy (London)","janbrueghel","ca. 1975",,"Acquired by the father of the current owner","provenance",
"4464","2887","Aeneas Carrying Anchises from the Burning Troy (Munich)","janbrueghel",,"Munich","Kurfürstlichen Gallery","provenance",
"4465","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","janbrueghel","1947",,"Acquired from Ellis & Smith at the Antique Dealers Fair","provenance",
"4466","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","janbrueghel","Nov 16 1998","London","Sale, Christie's, Lot #3 (as 'attributed to Jan I')","provenance",
"4467","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","janbrueghel","1999","London","Gallery Bernheimer","provenance",
"4468","2890","Aeneas and Sibyl in the Underworld (Amsterdam)","janbrueghel","Until 2004","France","Private Collection","provenance",
"4469","2890","Aeneas and Sibyl in the Underworld (Amsterdam)","janbrueghel","2005","London","Collection of Johnny van Haeftn Ltd.","provenance",
"4470","2891","Aeneas and Sibyl in the Underworld (Budapest, 551)","janbrueghel","1871","Laxenburg","Esterházy Collection, Schloss Laxenburg","provenance",
"4471","2892","Aeneas and Sibyl in the Underworld (Budapest, 553)","janbrueghel",,"Laxenburg","Esterházy Collection, Schloss Laxenburg","provenance",
"4472","2892","Aeneas and Sibyl in the Underworld (Budapest, 553)","janbrueghel","1812","Budapest","Szepmuveszeti Museum, 1812 catalogue, X, #19 as Pieter the Younger","provenance",
"4473","2893","Aeneas and Sibyl in the Underworld (London)","janbrueghel","Jul 12 2001","London","Sale, Christie's","provenance",
"4474","2893","Aeneas and Sibyl in the Underworld (London)","janbrueghel","2002","London","Richard Green Gallery","provenance",
"4475","2893","Aeneas and Sibyl in the Underworld (London)","janbrueghel","Jul 4 2007","London","Sale, Sotheby's, Lot #20 (for 1,924,000 pounds)","provenance",
"4476","2894","Aeneas and Sibyl in the Underworld (Rome)","janbrueghel","16th-17th century","Rome","Probably collection of Cardinal Ascanio Colonna","provenance",
"4477","2895","Aeneas and Sibyl in the Underworld (Vienna)","janbrueghel","1619","Vienna","Vienna Inventory H, inv. #7 (as ""Ein taffel von cupfer, Eneas mit den Sibilien in der Höllen, gar konstreich gemacht vom Brigel"")","provenance",
"4483","2897","Albert and Isabella before Mariemont Castle","janbrueghel","Until 1799","Mannheim","From Galerie Mannheim","provenance",
"4484","2897","Albert and Isabella before Mariemont Castle","janbrueghel","1799","Munich","Purchased by Alte Pinakothek","provenance",
"4501","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","janbrueghel","Until 1970","Milan","(Possibly Milan) Collection of Antonio Colombo","provenance",
"4502","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","janbrueghel","Oct 20 1970","Milan","Sale, Finarte, Lot #5","provenance",
"4503","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","janbrueghel","1979","France","Private Collection","provenance",
"4504","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","janbrueghel","Dec 13 1991","London","Sale, Christie's, Lot #6","provenance",
"4505","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","janbrueghel","1996","Vienna","Gallery Asenbaum","provenance",
"4506","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","janbrueghel",,"Italy","Private Collection","provenance",
"4520","2904","Allegory of Air (Rome)","janbrueghel","1742","Rome","Galleria Doria Pamphilj, Catalogue 1742, Inv. #328","provenance",
"4521","2905","Allegory of Air and Fire","janbrueghel","1764","Potsdam","Prussian Castle and Garden Berlin-Brandenburg","provenance",
"4522","2905","Allegory of Air and Fire","janbrueghel","1942 to 1945","Rheinsberg",,"provenance",
"4523","2905","Allegory of Air and Fire","janbrueghel","Until 1958","Russia","In the USSR","provenance",
"4524","2905","Allegory of Air and Fire","janbrueghel","1961","Potsdam","Returned to Potsdam","provenance",
"4525","2906","Allegory of Autumn","janbrueghel","Dec 12 1979","London","Sale, Sotheby's, Lot #44 (as Pieter Schoubroeck)","provenance",
"4526","2906","Allegory of Autumn","janbrueghel","Apr 18 1997","London","Sale, Christie's (as Marten Ryckaert)","provenance",
"4527","2907","Allegory of Autumn (Neuburg an der Donau)","janbrueghel","1716","Düsseldorf","Galerie Düsseldorf, inv. #334, as ""by Velvet Brueghel and Van Balen""","provenance",
"4528","2907","Allegory of Autumn (Neuburg an der Donau)","janbrueghel","1730","Mannheim","Mannheim Gallery, inv. #9","provenance",
"4529","2907","Allegory of Autumn (Neuburg an der Donau)","janbrueghel","1822 to 1939","Munich","inv. #2120","provenance",
"4530","2907","Allegory of Autumn (Neuburg an der Donau)","janbrueghel","1966","Germany","Restored by the Federal Repbulic of Germany","provenance",
"4543","2911","Allegory of Earth (Rome)","janbrueghel","By 1819","Rome","Galleria Doria Phamphij","provenance",
"4544","2912","Allegory of Earth and Water","janbrueghel","1754","Potsdam","Prussian Castle and Garden Berlin-Brandenburg","provenance",
"4545","2912","Allegory of Earth and Water","janbrueghel","1942 to 1945","Rheinsberg",,"provenance",
"4546","2912","Allegory of Earth and Water","janbrueghel","1958","Russia","In the USSR","provenance",
"4547","2912","Allegory of Earth and Water","janbrueghel","1961","Potsdam","Returned to Potsdam","provenance",
