Full Image Title,Onsite Image URL,Date,Object Page URL,Shortened Title with Date
A Summer Landscape with Harvesters,../img/scale/brueghel/2873.jpg,1610,janbrueghel/a-summer-landscape-with-harvesters,A Summer Landscape with Harvesters
Abraham sending Hagar and Ismael into the Forest,../img/scale/brueghel/2875.jpg,1590,janbrueghel/abraham-sending-hagar-and-ismael-into-the-forest,Abraham sending Hagar and Ismael into the Forest
Adoration of the Magi (Rome),../img/scale/brueghel/2881.jpg,1594,janbrueghel/adoration-of-the-magi-rome,Adoration of the Magi (Rome)
Adoration of the Magi (St. Petersburg),../img/scale/brueghel/2882.jpg,1598,janbrueghel/adoration-of-the-magi-st-petersburg,Adoration of the Magi (St. Petersburg)
Allegory of Autumn (Neuburg an der Donau),../img/scale/brueghel/2907.jpg,1616,janbrueghel/allegory-of-autumn-neuburg-an-der-donau,Allegory of Autumn (Neuburg an der Donau)
Allegory of Earth (Rome),../img/scale/brueghel/2911.jpg,1611,janbrueghel/allegory-of-earth-rome,Allegory of Earth (Rome)
Allegory of Fire: Venus in the Forge of Vulcan (England),../img/scale/brueghel/2914.jpg,1623,janbrueghel/allegory-of-fire-venus-in-the-forge-of-vulcan-england,Allegory of Fire: Venus in the Forge of Vulcan (England)
Allegory of Fire: Venus in the Forge of Vulcan (Rome),../img/scale/brueghel/2918.jpg,1611,janbrueghel/allegory-of-fire-venus-in-the-forge-of-vulcan-rome,Allegory of Fire: Venus in the Forge of Vulcan (Rome)
Allegory of Fire (Milan),../img/scale/brueghel/2919.jpg,1608,janbrueghel/allegory-of-fire-milan,Allegory of Fire (Milan)
Allegory of Gambling: Monkeys Playing a Board Game,../img/scale/brueghel/2920.jpg,1620,janbrueghel/allegory-of-gambling-monkeys-playing-a-board-game,Allegory of Gambling: Monkeys Playing a Board Game
Allegory of Sight and Smell,../img/scale/brueghel/2924.jpg,1620,janbrueghel/allegory-of-sight-and-smell,Allegory of Sight and Smell
Allegory of Spring (Neuburg an der Donau),../img/scale/brueghel/2926.jpg,1616,janbrueghel/allegory-of-spring-neuburg-an-der-donau,Allegory of Spring (Neuburg an der Donau)
Allegory of Summer,../img/scale/brueghel/2927.jpg,1590,janbrueghel/allegory-of-summer,Allegory of Summer
"Allegory of Touch, Hearing and Taste",../img/scale/brueghel/2929.jpg,1617,janbrueghel/allegory-of-touch-hearing-and-taste,"Allegory of Touch, Hearing and Taste"
Allegory of Vanity: The Feast of the Monkeys,../img/scale/brueghel/2930.jpg,1621,janbrueghel/allegory-of-vanity-the-feast-of-the-monkeys,Allegory of Vanity: The Feast of the Monkeys
Allegory of Vanity: The Feast of the Monkeys (Belgium),../img/scale/brueghel/2931.jpg,1618,janbrueghel/allegory-of-vanity-the-feast-of-the-monkeys-belgium,Allegory of Vanity: The Feast of the Monkeys (Belgium)
Allegory of Water (London),../img/scale/brueghel/2934.jpg,1618,janbrueghel/allegory-of-water-london,Allegory of Water (London)
Allegory of Water (Milan),../img/scale/brueghel/2936.jpg,1614,janbrueghel/allegory-of-water-milan,Allegory of Water (Milan)
Allegory of Water (Rome),../img/scale/brueghel/2937.jpg,1611,janbrueghel/allegory-of-water-rome,Allegory of Water (Rome)
Allegory of Winter (Neuburg an der Donau),../img/scale/brueghel/2938.jpg,1616,janbrueghel/allegory-of-winter-neuburg-an-der-donau,Allegory of Winter (Neuburg an der Donau)
Allegory of the Four Elements,../img/scale/brueghel/2940.jpg,1615,janbrueghel/allegory-of-the-four-elements,Allegory of the Four Elements
Allegory of the Four Elements (Madrid),../img/scale/brueghel/2941.jpg,1606,janbrueghel/allegory-of-the-four-elements-madrid,Allegory of the Four Elements (Madrid)
Allegory of the Four Elements (Milan),../img/scale/brueghel/2942.jpg,1605,janbrueghel/allegory-of-the-four-elements-milan,Allegory of the Four Elements (Milan)
Allegory of the Four Elements (Vienna),../img/scale/brueghel/2943.jpg,1604,janbrueghel/allegory-of-the-four-elements-vienna,Allegory of the Four Elements (Vienna)
Ancient Ruins,../img/scale/brueghel/2945.jpg,1593,janbrueghel/ancient-ruins,Ancient Ruins
Ancient Ruins at Baiae,../img/scale/brueghel/2947.jpg,1604,janbrueghel/ancient-ruins-at-baiae,Ancient Ruins at Baiae
Angels with Fruit Garland (Germany),../img/scale/brueghel/2948.jpg,1615,janbrueghel/angels-with-fruit-garland-germany,Angels with Fruit Garland (Germany)
The Arch of Septimus Severus Seen from the West,../img/scale/brueghel/2949.jpg,1594,janbrueghel/the-arch-of-septimus-severus-seen-from-the-west,The Arch of Septimus Severus Seen from the West
Archduke Albert before Mariemont Castle (Germany),../img/scale/brueghel/2950.jpg,1617,janbrueghel/archduke-albert-before-mariemont-castle-germany,Archduke Albert before Mariemont Castle (Germany)
Archduke Albrecht Before Tervueren Castle,../img/scale/brueghel/2951.jpg,1618,janbrueghel/archduke-albrecht-before-tervueren-castle,Archduke Albrecht Before Tervueren Castle
Attack by Bandits on a Forest Road,../img/scale/brueghel/2952.jpg,1607,janbrueghel/attack-by-bandits-on-a-forest-road,Attack by Bandits on a Forest Road
Attack on Traveler in the Woods,../img/scale/brueghel/2953.jpg,1605,janbrueghel/attack-on-traveler-in-the-woods,Attack on Traveler in the Woods
Attack on a Convoy (Vienna),../img/scale/brueghel/2954.jpg,1612,janbrueghel/attack-on-a-convoy-vienna,Attack on a Convoy (Vienna)
Autumn (Braunschweig),../img/scale/brueghel/2955.jpg,1615,janbrueghel/autumn-braunschweig,Autumn (Braunschweig)
Bacchanal,../img/scale/brueghel/2956.jpg,1610,janbrueghel/bacchanal,Bacchanal
Bacchanal with Silenus,../img/scale/brueghel/2957.jpg,1597,janbrueghel/bacchanal-with-silenus,Bacchanal with Silenus
"Bacchus, Venus, and Ceres",../img/scale/brueghel/2958.jpg,1605,janbrueghel/bacchus-venus-and-ceres,"Bacchus, Venus, and Ceres"
Bandit Encounter on the Way to Market,../img/scale/brueghel/2959.jpg,1605,janbrueghel/bandit-encounter-on-the-way-to-market,Bandit Encounter on the Way to Market
Banquet of Odysseus with Calypso,../img/scale/brueghel/2960.jpg,1616,janbrueghel/banquet-of-odysseus-with-calypso,Banquet of Odysseus with Calypso
Baptism of Christ (Cologne),../img/scale/brueghel/2961.jpg,1608,janbrueghel/baptism-of-christ-cologne,Baptism of Christ (Cologne)
Baptism of Christ (London),../img/scale/brueghel/2962.jpg,1625,janbrueghel/baptism-of-christ-london,Baptism of Christ (London)
Baptism of Christ (Munich),../img/scale/brueghel/2963.jpg,1597,janbrueghel/baptism-of-christ-munich,Baptism of Christ (Munich)
Baptism of Christ (Private Collection),../img/scale/brueghel/2964.jpg,1608,janbrueghel/baptism-of-christ-private-collection,Baptism of Christ (Private Collection)
Baptism of the Ethiopian Eunuch,../img/scale/brueghel/2965.jpg,1620,janbrueghel/baptism-of-the-ethiopian-eunuch,Baptism of the Ethiopian Eunuch
Basket and Glass Vase of Flowers (Amsterdam),../img/scale/brueghel/2967.jpg,1617,janbrueghel/basket-and-glass-vase-of-flowers-amsterdam,Basket and Glass Vase of Flowers (Amsterdam)
Basket and Glass Vase of Flowers (Washington),../img/scale/brueghel/2968.jpg,1615,janbrueghel/basket-and-glass-vase-of-flowers-washington,Basket and Glass Vase of Flowers (Washington)
Basket of Flowers (New York),../img/scale/brueghel/2969.jpg,1620,janbrueghel/basket-of-flowers-new-york,Basket of Flowers (New York)
Battle Scene,../img/scale/brueghel/2970.jpg,1609,janbrueghel/battle-scene,Battle Scene
Battle of the Amazons (Potsdam),../img/scale/brueghel/2972.jpg,1598,janbrueghel/battle-of-the-amazons-potsdam,Battle of the Amazons (Potsdam)
Battle of the Amazons (Private Collection),../img/scale/brueghel/2973.jpg,1610,janbrueghel/battle-of-the-amazons-private-collection,Battle of the Amazons (Private Collection)
Battle of the Israelites and the Amalekites,../img/scale/brueghel/2974.jpg,1602,janbrueghel/battle-of-the-israelites-and-the-amalekites,Battle of the Israelites and the Amalekites
Birds for an Allegory of Air,../img/scale/brueghel/2976.jpg,1610,janbrueghel/birds-for-an-allegory-of-air,Birds for an Allegory of Air
Boat Building,../img/scale/brueghel/2977.jpg,,janbrueghel/boat-building,Boat Building
